attributeName,attributeDefinition,measurementScale,domain,formatString,definition,unit,numberType,missingValueCode,missingValueCodeExplanation
Date,date sample was taken,dateTime,dateTimeDomain,DD-Month,,,,,
MeasType,type of measurement taken,,textDomain,,light or dark; from LICOR 6400XT,,,,
HHMMSS,real clock time,dateTime,dateTimeDomain,HHMMSS,"clock time string, 24 hour; from LICOR 6400XT",,,,
Bucket Number,number of experimental unit,,numericDomain,,,number,,,
Treatment,treatment code,,textDomain,A:P,code designating an experimental treatment,,,,
Chem,chemical treatment,,textDomain,,code designating experimental chemical treatment,,,,
Oil,oil treatment,,textDomain,,code designating oil treatment,,,,
Corexit,dispersant treatment,,textDomain,,code designating dispersant treatment,,,,
Herbivore,herbivore treatment,,textDomain,,code designating herbivore treatment,,,,
FTime,time since log file opened,,numericDomain,,number of seconds since the file was opened; from LICOR 6400XT,second,,,
EBal?,energy balance flag,,numericDomain,,flag for whether to do energy balance; from LICOR 6400XT,number,,,
Photo,Photosynthesis,,numericDomain,,Photosynthesis (?mol/m2/s); from LICOR 6400XT,?mol/m2/s,,,
Cond,stomatal conductance,,numericDomain,,stomatal conductance (mol/m2/s); from LICOR 6400XT,mol/m2/s,,,
Ci,intercelluar CO2 concentration,,numericDomain,,(?mol CO2 mol air-1); from LICOR 6400XT,?mol CO2 mol air-1,,,
FCnt,Flash count,,numericDomain,,Number of saturating flashes since power on; from LICOR 6400XT,number,,,
DCnt,Dark pulse count,,numericDomain,,Dark pulse count; from LICOR 6400XT,number,,,
Fo,"Minimal F, dark adapted",,numericDomain,,"Minimal Fluorescence, dark adapted; from LICOR 6400XT",number,,,
Fm,"Maximum F, dark adapted",,numericDomain,,"Maximum Fluorescence, dark adapted; from LICOR 6400XT",number,,,
Fo',"Minimal F, light adapted",,numericDomain,,"Minimal Fluorescence, light adapted; from LICOR 6400XT",number,,,
Fm',"Maximum F, light adapted",,numericDomain,,"Maximum Fluorescence, light adapted; from LICOR 6400XT",number,,,
Fs,Steady state fluorescence,,numericDomain,,Steady state fluorescence; from LICOR 6400XT,number,,,
Fv/Fm,Maximum PSII efficiency,,numericDomain,,"Maximum PhotoSystemII efficiency. Variable to maximal fluorescence
(dark).; from LICOR 6400XT",number,,,
Fv'/Fm',Variable to maximal fluorescence (light),,numericDomain,,Variable to maximal fluorescence (light); from LICOR 6400XT,number,,,
PhiPS2,PS II efficiency,,numericDomain,,PhotoSystem II efficiency; from LICOR 6400XT,number,,,
Adark,Dark photosynthetic rate,,numericDomain,,"Dark photosynthetic rate (?mol CO2 m-2 s-1), Sign convention:
a value < 0 indicates respiration; from LICOR 6400XT",?mol CO2 m-2 s-1,,,
RedAbs,Leaf absorptance at 640 nm,,numericDomain,,Leaf absorptance at 640 nm; from LICOR 6400XT,number,,,
BlueAbs,Leaf absorptance at 460 nm,,numericDomain,,Leaf absorptance at 460 nm; from LICOR 6400XT,number,,,
%Blue,Blue fraction,,numericDomain,,Blue fraction; from LICOR 6400XT,number,,,
