attributeName,measurementScale,domain,unit,numberType,attributeLabel,attributeDefinition,definition,formatString,missingValueCode,missingValueCodeExplanation
Date,dateTime,dateTimeDomain,NA,NA,NA,date sample was taken,NA,DD-Month,NA,NA
MeasType,nominal,textDomain,NA,NA,NA,type of measurement taken (light or dark); from LICOR 6400XT,light or dark,NA,NA,NA
HHMMSS,dateTime,dateTimeDomain,NA,NA,NA,"real clock time string, 24 hour; from LICOR 6400XT",NA,HHMMSS,NA,NA
Bucket Number,ratio,numericDomain,number,real,NA,number of experimental unit,NA,NA,NA,NA
Treatment,nominal,textDomain,NA,NA,NA,code designating an experimental treatment,A:P,NA,NA,NA
Chem,nominal,textDomain,NA,NA,NA,code designating experimental chemical treatment,any text,NA,NA,NA
Oil,nominal,textDomain,NA,NA,NA,code designating oil treatment,any text,NA,NA,NA
Corexit,nominal,textDomain,NA,NA,NA,code designating dispersant treatment,any text,NA,NA,NA
Herbivore,nominal,textDomain,NA,NA,NA,code designating herbivore treatment,any text,NA,NA,NA
FTime,ratio,numericDomain,second,real,NA,number of seconds since the file was opened; from LICOR 6400XT,NA,NA,NA,NA
EBal?,ratio,numericDomain,dimensionless,real,NA,flag for whether to do energy balance; from LICOR 6400XT,NA,NA,NA,NA
Photo,ratio,numericDomain,micromolePerMeterSquaredPerSecond,real,NA,Photosynthesis (micromol/m2/s); from LICOR 6400XT,NA,NA,NA,NA
Cond,ratio,numericDomain,molePerMeterSquaredPerSecond,real,NA,stomatal conductance (mol/m2/s); from LICOR 6400XT,NA,NA,NA,NA
Ci,ratio,numericDomain,dimensionless,real,NA,(micromol CO2 mol air-1); from LICOR 6400XT,NA,NA,NA,NA
FCnt,ratio,numericDomain,number,real,NA,Number of saturating flashes since power on; from LICOR 6400XT,NA,NA,NA,NA
DCnt,ratio,numericDomain,number,real,NA,Dark pulse count; from LICOR 6400XT,NA,NA,NA,NA
Fo,ratio,numericDomain,dimensionless,real,NA,"Minimal Fluorescence, dark adapted; from LICOR 6400XT",NA,NA,NA,NA
Fm,ratio,numericDomain,dimensionless,real,NA,"Maximum Fluorescence, dark adapted; from LICOR 6400XT",NA,NA,NA,NA
Fo',ratio,numericDomain,dimensionless,real,NA,"Minimal Fluorescence, light adapted; from LICOR 6400XT",NA,NA,NA,NA
Fm',ratio,numericDomain,dimensionless,real,NA,"Maximum Fluorescence, light adapted; from LICOR 6400XT",NA,NA,NA,NA
Fs,ratio,numericDomain,dimensionless,real,NA,Steady state fluorescence; from LICOR 6400XT,NA,NA,NA,NA
