Week	Chem	Oil	Core	Herbivore	d13C	d15N	d34S
0	NC	0	0	NG	-14.7	4.7	17.2
0	NC	0	0	NG	-14.8	4.2	18.0
0	NC	0	0	NG	-14.8	3.1	16.3
0	NC	0	0	P	-15.0	4.7	13.2
0	NC	0	0	P	-14.6	4.0	12.2
0	NC	0	0	P	-14.7	3.3	8.7
0	NC	0	0	S	-14.6	3.6	12.3
0	NC	0	0	S	-15.1	2.2	7.8
0	NC	0	0	S	-14.9	2.6	18.6
0	NC	0	0	S	-14.8	2.5	19.6
0	NC	0	0	SP	-15.1	1.6	11.3
0	NC	0	0	SP	-15.0	1.7	10.5
0	NC	0	0	SP	-14.9	1.3	6.6
0	Oil	1	0	NG	-14.5	6.3	17.4
0	Oil	1	0	NG	-14.7	1.2	19.1
0	Oil	1	0	NG	-14.9	4.7	7.1
0	Oil	1	0	P	-14.6	4.1	4.1
0	Oil	1	0	P	-14.7	4.6	6.8
0	Oil	1	0	S	-14.9	6.9	17.0
0	Oil	1	0	S	-14.4	3.9	17.6
0	Oil	1	0	SP	-14.5	2.4	11.2
0	Core	0	1	NG	-14.9	2.5	13.6
0	Core	0	1	NG	-14.8	4.7	9.3
0	Core	0	1	P	-14.8	2.7	15.0
0	Core	0	1	P	-14.9	2.6	17.2
0	Core	0	1	P	-14.9	2.5	16.8
0	Core	0	1	P	-14.6	4.0	17.6
0	Core	0	1	S	-14.2	2.6	7.5
0	Core	0	1	S	-13.8	2.7	16.9
0	Core	0	1	S	-15.0	1.3	16.1
0	Core	0	1	S	-14.8	4.0	14.0
0	Core	0	1	S	-14.7	4.0	13.3
0	Core	0	1	SP	-14.4	3.9	12.0
0	Core	0	1	SP	-14.4	4.9	5.4
0	Core	0	1	SP	-14.5	3.5	15.2
0	Core	0	1	SP	-14.3	3.7	11.0
0	OilCore	1	1	NG	-15.0	2.6	7.2
0	OilCore	1	1	NG	-14.5	3.8	14.9
0	OilCore	1	1	P	-14.8	2.6	15.4
0	OilCore	1	1	P	-14.6	4.4	9.4
0	OilCore	1	1	P	-14.6	1.3	13.5
0	OilCore	1	1	P	-14.8	2.7	15.4
0	OilCore	1	1	S	-14.4	3.5	12.5
0	OilCore	1	1	S	-14.7	2.7	9.9
0	OilCore	1	1	S	-14.2	5.7	13.3
0	OilCore	1	1	S	-15.0	2.7	13.1
0	OilCore	1	1	S	-14.6	3.3	6.9
0	OilCore	1	1	S	-14.7	1.5	10.4
0	OilCore	1	1	SP	-14.2	2.6	16.2
0	OilCore	1	1	SP	-14.6	3.2	10.2
0	OilCore	1	1	SP	-15.1	4.2	2.1
1	NC	0	0	NG	-14.3	3.8	8.4
1	NC	0	0	NG	-14.7	7.5	4.6
1	NC	0	0	NG	-14.5	4.5	0.2
1	NC	0	0	P	-14.7	4.2	3.3
1	NC	0	0	P	-14.2	4.4	7.3
1	NC	0	0	P	-14.1	5.8	6.8
1	NC	0	0	S	-14.3	2.8	6.4
1	NC	0	0	S	-14.4	2.9	8.4
1	NC	0	0	S	-14.5	2.7	2.6
1	NC	0	0	SP	-14.4	3.0	4.5
1	NC	0	0	SP	-15.1	2.8	5.9
1	NC	0	0	SP	-15.1	3.8	3.9
1	Core	0	1	NG	-14.7	2.4	4.4
1	Core	0	1	NG	-14.1	4.6	6.8
1	Core	0	1	NG	-14.3	2.8	4.8
1	Core	0	1	P	-14.3	4.2	4.2
1	Core	0	1	P	-14.8	3.1	7.8
1	Core	0	1	P	-14.4	2.9	7.5
1	Core	0	1	S	-14.4	4.8	1.7
1	Core	0	1	S	-14.3	1.9	6.1
1	Core	0	1	S	-15.1	1.9	5.8
1	Core	0	1	SP	-14.3	4.4	1.3
1	Core	0	1	SP	-14.2	5.6	2.6
1	Core	0	1	SP	-14.3	6.6	6.7
1	Oil	1	0	NG	-16.9	3.5	0.4
1	Oil	1	0	NG	-17.3	4.2	1.0
1	Oil	1	0	NG	-18.1	4.8	1.2
1	Oil	1	0	P	-17.2	3.4	0.6
1	Oil	1	0	P	-16.6	5.0	1.1
1	Oil	1	0	P	-17.8	2.1	3.5
1	Oil	1	0	S	-16.2	4.8	2.5
1	Oil	1	0	S	-16.8	2.3	3.1
1	Oil	1	0	S	-17.0	4.9	1.9
1	Oil	1	0	SP	-18.7	2.2	2.2
1	Oil	1	0	SP	-15.5	3.6	4.9
1	Oil	1	0	SP	-16.5	1.3	8.0
1	OilCore	1	1	NG	-16.4	3.7	0.0
1	OilCore	1	1	NG	-16.9	4.5	6.5
1	OilCore	1	1	NG	-15.4	3.8	5.0
1	OilCore	1	1	P	-16.1	1.7	7.6
1	OilCore	1	1	P	-18.7	4.7	0.8
1	OilCore	1	1	P	-15.7	5.4	0.6
1	OilCore	1	1	S	-15.0	3.7	8.0
1	OilCore	1	1	S	-16.6	3.5	3.9
1	OilCore	1	1	S	-16.2	3.4	2.6
1	OilCore	1	1	SP	-14.6	4.9	0.7
1	OilCore	1	1	SP	-17.0	3.7	2.5
1	OilCore	1	1	SP	-17.7	4.9	1.6
4	NC	0	0	NG	-14.4	6.1	2.9
4	NC	0	0	NG	-14.6	4.2	1.2
4	NC	0	0	NG	-14.5	3.9	1.9
4	NC	0	0	P	-14.6	4.4	4.6
4	NC	0	0	P	-14.3	6.6	1.3
4	NC	0	0	P	-15.5	3.2	1.8
4	NC	0	0	S	-14.4	3.7	5.2
4	NC	0	0	S	-14.7	4.8	6.2
4	NC	0	0	S	-15.0	3.4	1.9
4	NC	0	0	SP	-14.4	4.3	3.5
4	NC	0	0	SP	-14.7	3.8	2.0
4	NC	0	0	SP	-15.1	2.1	3.9
4	Core	0	1	NG	-14.7	4.8	1.8
4	Core	0	1	NG	-14.5	3.4	3.7
4	Core	0	1	NG	-14.9	4.3	4.0
4	Core	0	1	P	-14.5	4.9	1.8
4	Core	0	1	P	-14.5	3.8	8.0
4	Core	0	1	P	-15.2	5.1	5.5
4	Core	0	1	S	-14.3	5.0	3.0
4	Core	0	1	S	-14.7	3.9	9.1
4	Core	0	1	S	-14.6	5.6	1.2
4	Core	0	1	SP	-15.2	6.0	2.3
4	Core	0	1	SP	-14.7	3.9	4.3
4	Core	0	1	SP	-14.6	5.4	3.3
4	Oil	1	0	NG	-14.7	4.7	3.9
4	Oil	1	0	NG	-15.5	3.9	5.3
4	Oil	1	0	NG	-15.5	6.1	4.3
4	Oil	1	0	P	-14.3	5.5	0.9
4	Oil	1	0	P	-14.9	3.9	8.2
4	Oil	1	0	P	-14.6	3.2	8.2
4	Oil	1	0	S	-14.9	4.9	3.6
4	Oil	1	0	S	-14.9	4.0	0.3
4	Oil	1	0	S	-14.9	3.9	3.6
4	Oil	1	0	SP	-15.1	5.2	8.0
4	Oil	1	0	SP	-14.5	2.5	2.8
4	Oil	1	0	SP	-14.8	5.1	0.3
4	OilCore	1	1	NG	-14.6	4.3	4.8
4	OilCore	1	1	NG	-14.9	3.1	1.4
4	OilCore	1	1	NG	-14.8	4.2	3.6
4	OilCore	1	1	P	-14.7	4.6	2.5
4	OilCore	1	1	P	-14.3	3.1	6.1
4	OilCore	1	1	P	-14.8	3.2	2.3
4	OilCore	1	1	S	-14.5	3.8	1.3
4	OilCore	1	1	S	-15.6	5.5	6.3
4	OilCore	1	1	S	-14.2	5.5	6.2
4	OilCore	1	1	SP	-14.1	4.6	4.5
4	OilCore	1	1	SP	-14.9	4.7	0.9
4	OilCore	1	1	SP	-16.0	2.7	9.7
8	Oil	1	0	SP	-15.7	2.7	10.0
8	OilCore	1	1	NG	-15.6	2.7	7.1
8	OilCore	1	1	SP	-15.3	3.6	7.7
8	OilCore	1	1	S	-15.2	5.2	8.4
8	OilCore	1	1	P	-15.2	3.2	3.4
8	OilCore	1	1	SP	-15.2	4.7	4.5
8	NC	0	0	NG	-15.2	3.6	6.7
8	NC	0	0	SP	-15.1	3.2	0.2
8	Oil	1	0	NG	-15.1	5.5	10.5
8	OilCore	1	1	SP	-15.1	3.3	3.1
8	Core	0	1	S	-15.1	4.0	2.9
8	Oil	1	0	SP	-15.1	3.5	6.4
8	NC	0	0	SP	-15.0	3.6	0.3
8	OilCore	1	1	P	-15.0	5.0	10.0
8	Core	0	1	SP	-15.0	3.8	3.8
8	OilCore	1	1	S	-15.0	4.4	2.3
8	OilCore	1	1	NG	-15.0	4.2	6.2
8	NC	0	0	P	-15.0	5.0	4.5
8	Core	0	1	S	-14.9	3.2	6.7
8	Core	0	1	SP	-14.9	5.1	6.7
8	NC	0	0	SP	-14.9	3.5	0.2
8	Core	0	1	NG	-14.8	4.5	3.8
8	Oil	1	0	P	-14.8	5.0	5.7
8	OilCore	1	1	NG	-14.8	3.9	4.4
8	Core	0	1	P	-14.8	3.9	2.2
8	Oil	1	0	P	-14.8	4.3	4.6
8	Oil	1	0	S	-14.7	3.4	8.0
8	NC	0	0	S	-14.7	4.3	4.7
8	Core	0	1	S	-14.7	4.0	5.6
8	Oil	1	0	SP	-14.7	4.8	6.4
8	Oil	1	0	S	-14.6	3.5	2.6
8	Core	0	1	NG	-14.6	3.8	4.1
8	Oil	1	0	S	-14.6	3.3	3.1
8	Oil	1	0	NG	-14.6	5.0	9.9
8	Core	0	1	SP	-14.6	4.8	1.1
8	NC	0	0	S	-14.6	3.1	9.2
8	OilCore	1	1	P	-14.5	4.7	2.9
8	NC	0	0	NG	-14.5	4.6	7.2
8	NC	0	0	P	-14.5	5.2	4.3
8	Oil	1	0	NG	-14.5	4.0	7.2
8	Core	0	1	P	-14.5	5.0	4.3
8	Core	0	1	NG	-14.5	4.5	1.7
8	NC	0	0	P	-14.4	5.2	5.2
8	OilCore	1	1	S	-14.4	3.0	1.8
8	Core	0	1	NG	-14.4	2.8	12.7
8	Oil	1	0	P	-14.3	5.3	8.9
8	Oil	1	0	S	-14.2	6.2	7.2
8	NC	0	0	NG	-14.2	7.6	4.5
8	NC	0	0	S	-14.1	4.2	6.9
8	NC	0	0	P	-14.1	6.4	5.0
8	Oil	1	0	S	-14.1	6.4	7.2
